master;target;(n)related
13512;31223;N
16467;30279;N
18810;18873;N
18873;19953;N
20092;33317;N
25689;32725;N
26607;30402;N
26874;34738;N
27527;32122;N
27567;34327;N
27678;28041;N
27679;35258;N
27707;33409;N
27894;35572;N
28048;33953;N
28518;32863;N
28587;28275;R
28807;29097;N
28956;29433;N
28959;31190;N
28962;34689;N
29027;29878;N
29126;27598;N
29167;32455;N
29232;35521;N
29310;30220;N
29351;31223;N
29365;29449;N
29504;31212;N
29532;30381;N
29543;36053;N
29612;33869;N
29623;35879;N
29624;28413;N
29938;33709;N
30083;30640;N
30366;30699;N
30400;30213;N
30403;28724;N
30652;34844;N
30765;29869;N
30775;35922;N
30836;31203;N
30836;33055;N
30899;26204;N
31097;35182;N
31170;28347;N
31170;33313;N
31206;28893;N
31212;33346;N
31224;30714;N
31293;34738;N
31314;29506;N
31338;32934;N
31500;31407;N
31634;34302;N
31741;36374;N
31741;29097;N
31789;32367;N
31980;31933;N
32025;31802;N
32088;29661;N
32089;29296;N
32089;31215;N
32121;25689;N
32196;32935;N
32473;30829;N
32482;32185;N
32500;30492;N
32525;31765;N
32735;33709;N
32736;31338;N
32738;36061;N
32756;19367;N
33055;31867;N
33073;36344;N
33073;29755;N
33100;33679;N
33107;30725;N
33107;34046;N
33146;32412;N
33166;27710;N
33495;28210;N
33558;32773;N
33558;33479;N
33562;33560;N
33719;32427;N
33749;34259;N
33836;31211;N
33858;27717;N
34179;31407;N
34211;31894;N
34307;32343;N
34377;32493;N
34415;31120;N
34619;29524;N
34623;33056;N
34689;32681;N
34859;32805;N
34863;34861;N
34867;26513;N
34881;29661;N
35123;29203;N
35175;36059;N
35410;33345;N
35535;28008;N
35571;31200;N
35689;26984;N
35900;31444;N
35995;29348;N
36072;32935;N
36207;31734;N
36207;30547;N
36208;35404;N
36361;29216;N
36392;35479;N
36524;26877;N
30210;30145;R
31113;31114;R
31191;31126;R
31231;31232;N
31275;31410;R
32122;29766;R
32256;32254;R
32331;32116;R
32719;32116;R
32719;32331;R
33191;32820;R
33327;30912;R
33841;33856;R
34105;31205;N
34684;34628;R
35928;31562;R
35928;28988;R
36154;34385;R
4993;30700;N
10890;33496;N
10890;33061;N
11607;28041;N
12689;28624;N
18810;32276;N
20568;35404;N
20642;28301;N
20949;32374;N
22757;33860;N
22991;30779;N
23166;30154;N
24001;32167;N
25068;35568;N
26375;33789;N
26654;28796;N
26911;30259;N
27063;33233;N
27433;18850;R
27558;27674;N
28076;32149;N
28275;33674;N
28298;36347;N
28413;29585;N
28413;35566;N
28616;31726;N
28616;31726;N
28696;31072;N
28726;33233;N
28807;28808;N
29008;17569;N
29113;31957;N
29215;24321;N
29230;34734;N
29308;31344;N
29308;32409;N
29341;36220;N
29345;30274;N
29352;27838;N
29449;33541;N
29566;34613;N
29661;36467;N
29874;32276;N
29902;31118;N
30059;30948;N
30106;33603;N
30187;26437;N
30212;31641;N
30258;35727;N
30284;34803;N
30322;34697;N
30322;30024;N
30480;33290;N
30510;32059;N
30714;32412;N
30847;31657;N
30875;28331;N
30879;10482;N
30954;33675;N
30954;36600;N
30965;34171;N
30965;36233;N
31060;34553;N
31114;35668;N
31219;33307;N
31227;31228;N
31379;31205;N
31430;31034;N
31617;30383;N
31617;32035;N
31787;28780;N
31884;35656;N
31971;33869;N
32083;28833;N
32101;30665;N
32185;29267;N
32427;31766;N
32427;31760;R
32448;30164;N
32479;27667;N
32725;27707;N
32781;34213;N
32867;30499;N
33059;20069;N
33097;36154;N
33172;35838;N
33217;32375;N
33243;34929;N
33290;27696;N
33290;34708;N
33317;27007;N
33340;29961;N
33585;32122;N
33736;16176;N
34096;32273;N
34171;34205;N
34266;35448;N
34307;26046;N
34354;36639;N
34394;27620;N
34503;28308;N
34734;29658;N
34881;19953;N
35327;34278;N
35337;27590;N
35570;10482;N
35572;32945;N
35836;33346;N
35881;30039;N
35908;31956;N
35996;33327;N
36095;35926;N
36334;36495;N
36380;34240;N
36529;25068;N
36561;32469;N
36608;34613;N
36614;30633;N
36633;29568;N
20568;12689;N
26869;32167;N
28539;34697;N
28852;32672;N
28852;34916;N
28861;32280;N
29223;36154;N
29349;32380;N
29550;33892;N
29703;29557;R
29703;29557;N
29854;30325;N
30003;30039;N
30006;34173;N
30024;30912;N
30024;30052;R
30124;32367;N
30185;31444;N
30233;30342;R
30323;26622;N
30403;30402;R
30456;30325;N
30456;30708;N
30499;36257;N
30593;31912;N
30641;30150;R
30702;31955;N
30705;31254;N
30744;28374;N
30779;35568;N
30912;30660;R
30915;29324;N
30935;30003;N
31021;34932;N
31026;29766;N
31051;32917;N
31192;31051;R
31254;30039;N
31254;32824;N
31303;35620;N
31323;31912;N
31428;31976;N
31458;31969;N
31465;30094;N
31496;32193;N
31531;35313;N
31572;30052;N
31587;29766;N
