master;target;)n)Related
21310;24579;R
16937;17767;R
12447;19839;R
19863;13875;R
19780;21230;R
14012;18103;R
12595;19949;R
32849;28702;R
11964;19656;R
21633;20523;R
21256;16480;R
16262;21125;R
23692;38011;R
14919;16887;R
20704;13043;R
20276;11273;R
12726;12922;R
13115;17052;R
12518;17261;R
19133;18262;R
17760;17977;R
15373;13484;R
12439;11183;R
19508;13753;R
22912;21591;R
20921;15130;R
18084;16276;R
18311;18458;R
18431;15039;R
11672;11771;R
15530;14151;R
20778;14416;R
11352;12347;R
20431;12638;R
12063;12363;R
22350;20953;R
21185;15043;R
15426;21591;R
35643;33020;R
12077;22243;R
16050;15992;R
11471;11438;R
22586;12922;R
17197;11593;R
17708;17688;R
17767;16421;R
21591;11106;R
21082;15438;R
20082;20284;R
22851;14558;R
21157;21082;R
22410;22364;R
15651;14966;R
21745;19907;R
22548;14761;R
21440;20280;R
21554;20280;R
13754;13792;R
18893;18111;R
15862;15927;R
17767;17199;R
21261;19191;R
21082;16414;R
22851;13603;R
18242;15220;R
28245;18317;R
19097;18317;R
30693;33692;R
19110;19154;R
18419;18317;R
29058;23599;R
17769;17768;R
13399;14422;R
24874;16686;R
18419;18834;R
24436;22012;R
30716;30700;R
22211;19618;R
14552;12440;R
13023;13013;R
29419;29260;R
19824;19804;R
19592;19615;R
40151;40037;R
36737;34948;R
23844;23294;R
21440;21554;R
22116;21358;R
39762;37881;R
38377;35968;R
22613;16316;R
12751;29871;R
38683;16175;R
22486;12456;N
39165;37173;N
25981;24725;N
35886;19955;N
28088;38449;N
17948;20272;N
21094;15501;N
19455;35483;N
19712;26992;N
24902;21700;N
27860;15944;N
19494;36674;N
15024;25023;N
17067;12077;N
20416;22526;N
14449;21996;N
22563;18894;N
13533;14188;N
19092;14758;N
13546;13689;N
15479;17006;N
13671;19891;N
19208;20475;N
17628;16824;N
16890;19082;N
15943;22065;N
16554;16053;N
14585;12834;N
16745;15114;N
13294;13640;N
21637;14240;N
18959;18142;N
16439;19308;N
13614;12927;N
13150;16591;N
20523;18619;N
16055;14299;N
13227;20436;N
12856;11263;N
19416;17457;N
12236;17381;N
22536;15425;N
16294;14731;N
13413;11953;N
16737;16118;N
16701;15123;N
12438;19249;N
10962;11099;N
18962;17962;N
11890;21150;N
12961;12213;N
17420;19847;N
22780;20105;N
14807;19738;N
17187;21077;N
18502;12249;N
20855;18082;N
12203;14379;N
25228;22537;N
22620;16530;N
15872;14545;N
16824;11346;N
13217;13761;N
10931;10832;N
14915;22785;N
20399;13531;N
21260;22237;N
13738;11578;N
12762;18612;N
19559;18682;N
18968;18883;N
14533;11295;N
11721;12475;N
19187;15566;N
18230;10704;N
16441;19453;N
15962;20970;N
20243;11428;N
33299;31894;N
19395;12377;N
16476;15397;N
22417;18111;N
12983;14446;N
19516;19027;N
22763;16884;N
15359;13850;N
13379;19545;N
16680;17361;N
19551;13578;N
14459;18728;N
17221;11428;N
17088;12312;N
21970;12259;N
21000;16179;N
21085;15369;N
11108;19908;N
21075;18851;N
18623;20202;N
13420;10682;N
22850;21204;N
16893;18304;N
16100;17850;N
11633;16833;N
10964;12749;N
13720;12264;N
32236;14769;N
22052;22463;N
21723;11544;N
14116;17977;N
11769;21113;N
18967;15631;N
20684;22119;N
19532;12490;N
13469;12255;N
20196;22103;N
13583;12370;N
16665;19447;N
13755;14337;N
13176;11995;N
22949;14337;N
11445;21480;N
15503;13478;N
10704;18263;N
13164;12213;N
22484;14655;N
15736;16760;N
19847;10639;N
20491;17931;N
14972;12834;N
11731;14719;N
20966;18957;N
12133;17633;N
14061;14121;N
12860;11588;N
11458;22603;N
22056;11920;N
21463;10847;N
17470;13918;N
14897;12956;N
14104;11957;N
13272;18321;N
12483;12585;N
21700;16760;N
11827;14437;N
14659;12899;N
19568;13875;N
11511;11143;N
14855;22686;N
12472;21640;N
11337;12324;N
13073;9801;N
12440;20105;N
18233;17307;N
18703;17211;N
13813;19461;N
22630;17891;N
19113;17435;N
21770;18885;N
15758;16278;N
21165;12778;N
12209;15631;N
13388;14508;N
17826;12599;N
14332;13213;N
20136;16118;N
15123;17888;N
13226;10920;N
18474;18638;N
12899;12582;N
22922;21458;N
19783;16190;N
20490;15344;N
20128;11590;N
21640;21064;N
19629;13528;N
17946;15230;N
15613;13575;N
10935;16622;N
15701;13739;N
22408;17019;N
11072;16414;N
17909;17680;N
16686;22486;N
11606;13399;N
12246;13694;N
20463;16863;N
16190;13786;N
21966;14658;N
19395;13478;N
20768;13892;N
21951;12213;N
14883;11730;N
22911;15793;N
20463;22055;N
13848;14471;N
17802;15793;N
22411;21480;N
18753;14615;N
15572;13864;N
14508;13216;N
15939;15130;N
16177;12950;N
22463;13860;N
13916;20280;N
21090;20202;N
12246;19033;N
22335;37759;N
21015;12928;N
20995;22146;N
21480;21161;N
17679;12419;N
19848;16082;N
21183;16945;N
20995;20189;N
15226;12955;N
18445;16178;N
19256;15793;N
19655;19457;N
11606;13838;N
10721;17159;N
20202;11257;N
12585;11518;N
21996;16163;N
16920;14571;N
15165;12636;N
22894;17205;N
19269;17780;N
18233;25744;N
16570;20126;N
19253;15430;N
10946;12182;N
13959;12500;N
16389;11525;N
17968;17578;N
21973;13738;N
22055;24742;N
17737;11379;N
16863;12521;N
13346;12419;N
36574;34173;N
22219;19671;N
21998;11132;N
19154;18299;N
22911;19386;N
20314;14550;N
18194;14975;N
19707;21204;N
31307;33339;N
30815;17196;N
32243;23921;N
38732;34745;N
21310;34745;N
9935;27753;N
28591;15079;N
33065;15416;N
23450;34232;N
34988;26516;N
22280;20479;N
40088;29158;N
22963;19142;N
26490;23303;N
39797;26812;N
25966;35779;N
31370;22894;N
24434;21534;N
23632;26308;N
27525;29365;N
9542;21350;N
20574;30834;N
39779;39043;N
29309;21934;N
31874;34971;N
25255;19952;N
37015;23736;N
16483;38385;N
20883;10949;N
20482;23694;N
37818;19396;N
35923;12826;N
17515;25710;N
38755;22585;N
26263;17641;N
28585;18022;N
36957;23537;N
36992;29896;N
16890;20603;N
20989;22474;N
39918;39633;N
33944;13280;N
33418;22256;N
20532;25710;N
19651;18538;N
32335;35294;N
22552;32449;N
14057;18376;N
28280;37297;N
23730;26312;N
22945;39755;N
32172;21551;N
26039;29787;N
33799;26807;N
28890;17760;N
20741;24924;N
20209;33716;N
38487;19568;N
36714;32929;N
23246;31863;N
18317;18834;R
18458;20953;R
19568;34173;R
19097;18834;N
18242;17977;R
21591;17019;N
21480;29365;N
13671;12377;N
22335;33692;N
16421;26812;R
15651;11593;R
20479;26312;N
20995;14416;N
21998;19891;N
15651;17641;R
14719;20479;N
16179;16178;R
18893;26812;R
15426;12370;N
22055;31307;N
14552;20105;N
21480;34173;N
28245;18834;N
18893;26312;N
21998;17205;N
19097;18419;R
19891;11132;N
21183;15397;N
22922;21640;N
13875;13892;N
19863;34173;N
15426;17019;R
