master;target;(n)related
85;1525;R
1996;295;R
33;2644;N
3367;1671;R
922;3254;R
695;698;R
417;727;R
3317;3080;R
3183;2351;N
2062;1312;R
2746;3022;R
3181;224;R
668;2986;R
2616;951;R
3340;2986;R
3340;1166;R
782;2992;R
782;1686;R
48;39;R
3556;955;R
668;698;R
3595;3579;R
2279;1426;R
3518;73;R
2107;1994;R
1166;698;R
782;2986;R
1466;657;R
1363;292;R
1907;1888;R
569;2279;R
3556;3340;R
1661;1477;R
2986;1686;R
668;1166;R
3136;3062;R
3090;226;R
53;56;R
1938;1000;N
1938;903;N
1308;1404;N
2181;1525;N
3503;2742;N
86;1276;N
2943;3221;N
86;3246;N
918;593;N
3503;1787;N
86;114;N
2698;1374;N
1398;1749;N
3495;50;N
3351;3341;N
2643;3413;N
3503;1874;N
1251;2477;N
182;1392;N
3495;601;N
1984;2499;N
182;1002;N
1045;1072;N
385;847;N
1874;2200;N
2882;123;N
2359;1901;N
693;1396;N
1306;1579;N
2803;1387;N
1745;2629;N
3155;3560;N
1716;190;N
85;1996;N
3608;3033;N
2695;1093;N
3467;3355;N
2606;2845;N
1250;1510;N
2245;626;N
188;1097;N
3065;3372;N
1658;1056;N
790;2399;N
2957;1506;N
1396;796;N
1385;1882;N
1072;840;N
1003;748;N
1404;179;N
2727;1917;N
2483;3343;N
2789;2039;N
1669;49;N
699;2761;N
1698;1233;N
994;2475;N
1776;2076;N
3286;2585;N
1510;3613;N
2281;346;N
218;190;N
2533;858;N
133;1583;N
3137;339;N
1773;710;N
1865;3556;N
3096;493;N
2742;1842;N
2116;380;N
304;2013;N
1901;1624;N
3287;798;N
3287;1504;N
877;3580;N
2083;3057;N
1654;1964;N
1559;2102;N
2117;1312;N
1256;1973;N
2537;1518;N
2552;3424;N
1725;1269;N
2394;1792;N
1005;1762;N
176;2719;N
1595;1387;N
102;234;N
1273;2006;N
1034;1488;N
521;3661;N
1926;2896;N
1645;953;N
3243;702;N
180;3373;N
1370;2316;N
89;1624;N
1678;136;N
1097;233;N
2254;3574;N
134;2714;N
3499;506;N
3413;158;N
3420;2528;N
97;3245;N
511;11;N
2957;9;N
1682;179;N
721;1387;N
560;2434;N
2140;1536;N
2185;3484;N
1353;1089;N
560;2141;N
2528;336;N
2142;1026;N
2130;2348;N
1538;547;N
61;1101;N
3297;1752;N
1415;2617;N
509;3580;N
646;428;N
3278;2507;N
862;3613;N
1164;2227;N
2536;1907;N
1729;3305;N
3589;3614;N
2797;1766;N
1093;439;N
2723;687;N
98;3639;N
3380;1567;N
2838;3008;N
635;1897;N
3621;1017;N
601;1712;N
3034;2320;N
1439;2351;N
3300;3168;N
1188;2037;N
1688;3257;N
20;2756;N
778;3464;N
263;497;N
1767;1989;N
42;1458;N
442;3234;N
3466;2984;N
1749;698;N
1209;236;N
3492;3128;N
2944;453;N
3347;1091;N
3609;1934;N
3166;2689;N
2543;2874;N
538;3227;N
3165;873;N
1539;3403;N
90;986;N
2421;840;N
3110;2560;N
3056;1182;N
3376;1842;N
3386;2031;N
347;2670;N
3172;1379;N
3653;1637;N
1732;1402;N
2477;2790;N
2403;3262;N
152;1445;N
152;1445;N
2614;3193;N
2614;3193;N
3259;2974;N
150;3094;N
1017;323;N
2426;238;N
705;592;N
3520;3518;N
2477;2500;N
3063;2487;N
3415;2634;N
3609;2158;N
3033;2677;N
3439;281;N
2465;3366;N
1549;2529;N
471;1962;N
2379;2909;N
3650;3612;N
512;3;N
2750;2432;N
875;2650;N
3176;1494;N
3455;2262;N
831;1907;N
2767;3359;N
1014;3234;N
2915;1554;N
797;1500;N
3507;2403;N
571;2909;N
2267;2653;N
2714;2082;N
3122;3224;N
3217;1855;N
3536;858;N
2777;1848;N
485;190;N
2044;3523;N
1508;932;N
1597;137;N
2174;15;N
3175;1166;N
3347;62;N
1574;3424;N
315;155;N
678;3136;N
3122;3431;N
1903;3490;N
2940;3458;N
600;927;N
196;2572;N
2564;1703;N
3106;1779;N
3090;1259;N
863;1248;N
3378;3281;N
69;719;N
944;1170;N
2640;3123;N
3012;2195;N
1490;1961;N
1445;1945;N
74;1019;N
1083;1361;N
1976;186;N
2013;1992;N
2332;1411;N
463;1663;N
1838;3592;N
3005;2096;N
3568;3318;N
987;1859;N
2564;2756;N
3244;3281;N
3358;2403;N
3418;3390;N
3539;861;N
725;1521;N
2072;1850;N
3310;466;N
2721;3102;N
2100;2927;N
1419;1095;N
1840;2899;N
3005;1115;N
1710;2712;N
2391;2712;N
2292;1315;N
2728;3447;N
2396;2629;N
113;1198;N
2683;3512;N
464;3188;N
749;3099;N
163;1738;N
3588;3299;N
3596;160;N
3344;2771;N
3311;2500;N
3497;2151;N
3396;295;N
136;1218;N
3421;1085;N
3373;3412;N
3182;1259;N
1312;1123;N
3316;2475;N
3385;2398;N
456;2512;N
925;698;N
357;784;N
2554;1379;N
925;1112;N
3180;1240;N
2648;1288;N
3506;3397;N
2431;56;N
2616;2484;N
3593;2565;N
272;466;N
3506;3359;N
1182;224;N
3596;3424;N
832;746;N
2187;644;N
744;3331;N
2665;1235;N
3162;158;N
3083;45;N
2923;393;N
1738;2542;N
121;406;N
3005;841;N
146;1166;N
2412;2227;N
3057;2045;N
3263;406;N
2398;3412;N
3112;1494;N
1036;3135;N
446;1166;N
3254;384;N
3522;2670;N
2683;3051;N
3179;2107;N
1721;2227;N
1547;782;N
3343;158;N
3168;1243;N
2616;1002;N
466;756;N
2412;238;N
1972;1686;N
1141;2683;N
1663;211;N
3170;668;N
3558;3412;N
2928;2340;N
3223;2486;N
203;70;N
2860;1129;N
3412;2215;N
814;1218;N
3352;3051;N
2107;224;N
1917;1906;N
3136;384;N
153;260;N
438;384;R
3397;1288;R
2170;2168;R
1723;1712;R
569;1426;R
2105;580;R
417;707;R
1195;1357;R
1491;1186;R
1882;3108;R
349;251;R
1232;1260;R
1087;524;R
3340;955;R
3074;1741;R
466;467;R
1966;1963;R
1531;1528;R
698;668;R
3051;668;N
2227;814;N
3051;1166;N
3556;782;R
1994;224;N
3188;384;N
3556;668;R
3352;1166;R
2986;1166;R
446;153;N
2756;2158;N
3352;668;N
3182;2398;N
2227;1218;N
3340;2986;N
2986;1972;N
3558;2215;R
